# dom_assign_file=gen_genF/genomes_refseq_nr_22122016_size200_cover10.faa.out.hmmsearch.tab
# list_file=oxli.txt
# RefSeq_file=assembly_refseq.nr2016.txt
# PSEUDOCOUNT=0.8

# number of taxa in oxli.txt = 53

	PF00067	PF00115	PF00116	PF00117	PF00120	PF00142	PF00148	PF00173	PF00174	PF00175	PF00194	PF00208	PF00310	PF00384	PF00441	PF00484	PF00696	PF00795	PF00970	PF00988	PF01077	PF01493	PF01568	PF01645	PF02142	PF02239	PF02335	PF02461	PF02560	PF02665	PF02771	PF02786	PF02787	PF02812	PF03060	PF03063	PF03069	PF03139	PF03404	PF03460	PF03951	PF04324	PF04879	PF04898	PF05088	PF07732	PF07992	PF11844	PF13247	PF13442	PF13447	PF13806	PF14691	PF14710	PF14711
Bacillus mycoides	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	0	1	1	0	1	0	1	1
Basilea psittacipulmonis DSM 24701	0	1	0	1	1	0	0	0	0	1	0	1	1	1	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	1	1	0	1	0	1	1	0	1	1	0	0	1	0	1
Pseudomonas alkylphenolia	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1
Rickettsiales bacterium Ac37b	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0
Corynebacterium ureicelerivorans	1	1	1	1	1	1	0	0	0	1	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0
Bacillus sp. X1(2014)	0	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1
Sphingobacterium sp. ML3W	1	1	1	1	1	1	0	1	0	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	0	0	0	1	0	1	1	0	1	1	0	0	1	0	0
Candidatus Baumannia cicadellinicola	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Treponema putidum	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0
Corynebacterium sp. ATCC 6931	0	1	1	1	1	1	0	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0
Arthrobacter sp. A3	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	0
Candidatus Izimaplasma sp. HR1	0	0	0	1	1	1	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0
Burkholderia cenocepacia	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1
Burkholderia oklahomensis	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1
Paenibacillus durus	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	0
Jeotgalicoccus saudimassiliensis	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0
Pseudomonas saudiphocaensis	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0
Pluralibacter gergoviae	0	1	1	1	1	0	0	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	0	1	1	0	1	1	0	1
Cedecea neteri	0	1	1	1	1	0	0	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	1	1	1	1	1	0	1	0	0	0	1	1	1	1	0	0	1	1	0	1	1	0	1	1	0	1
Prochlorococcus sp. MIT 0604	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0
Prochlorococcus sp. MIT 0801	0	1	1	1	1	1	1	0	0	1	0	0	1	0	0	0	1	1	1	1	1	1	0	1	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0
Achromobacter xylosoxidans C54	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	1	1	0	1	1	0	1	1	0	1
Paenibacillus sp. FSL H7-0357	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	1
Paenibacillus sp. FSL H7-0737	0	1	1	1	1	1	0	0	1	1	0	1	1	0	0	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	1	0	1	0	0	1	0	0	1	0	1	1	0	0
Paenibacillus sp. FSL P4-0081	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	0	0	1	0	1	1	0	1	1	0	1
Paenibacillus sp. FSL R7-0273	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	0	0	1	0	1	1	0	1	1	0	1
Paenibacillus sp. FSL R7-0331	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	0	0	0	1	0	1	1	1	1	1	0	0	0	1	1	1	0	1	0	0	1	1	1	1	0	1	1	1	1
Paenibacillus borealis	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	0	1	0	1	1	1	0	1	0	0	1	0	0	1	0	1	1	0	0
Paenibacillus stellifer	0	1	0	1	1	1	1	0	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	1	0	0	1	1	0	0
Paenibacillus graminis	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	1	1	1	1	0	1	1	0	1
Paenibacillus odorifer	0	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	1	0	0	1	1	1	0	1	0	0	1	0	1	1	0	1	1	1	1
Pantoea rwandensis	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	0
Pseudomonas cremoricolorata	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0
Lactobacillus sp. wkB8	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Pseudomonas rhizosphaerae	0	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	1	1	1	0	1	0	0	0	0	1	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0
Streptomyces glaucescens	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	0	1	1	0	1	0	0	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	0
Methanobacterium formicicum	0	0	0	1	1	1	1	0	1	1	0	1	0	1	0	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0
Vibrio coralliilyticus	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0
Thermoanaerobacter kivui	0	0	0	1	1	1	0	0	0	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	0	1	1	0	0	1	0	1	0	0	0	1	0	0
Sphingomonas taxi	0	1	1	1	1	0	0	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0
Francisella sp. FSC1006	0	1	1	1	1	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Corynebacterium doosanense CAU 212 = DSM 45436	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	0	1	0	0	1	1	0	1	0	0	1	1	0	1	1	0	0	0	0	1
Fervidobacterium islandicum	0	0	0	1	1	1	0	1	0	1	0	1	0	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0
Novosphingobium pentaromativorans US6-1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	1	0	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0
Thermococcus eurythermalis	0	0	0	1	1	1	0	0	1	1	0	1	0	1	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	1	0	0
Streptomyces sp. CCM_MD2014	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1
Vibrio tubiashii ATCC 19109	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0
Treponema sp. OMZ 838	0	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0
Pantoea sp. PSNIH1	0	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	1	0	1	0	0	0
Pantoea sp. PSNIH2	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	1	1	1	0	0	0	1	1	1	1	0	0	1	1	0	1	1	0	1	1	0	1
Pimelobacter simplex	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	0	1	0	1	1	0	1	1	0	0
Arthrobacter sp. PAMC 25486	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	0	0	1	1	1	1	0	1	1	0	1	1	0	1
Planococcus sp. PAMC 21323	0	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	1	0	0
Methylomonas denitrificans	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1
Collimonas arenae	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0
Pseudoalteromonas sp. OCN003	0	1	1	1	1	1	0	0	0	1	0	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	0	1	1	0	1	0	0	1	0	0	1	0	0
Geoglobus acetivorans	0	1	0	1	1	1	0	0	1	1	0	1	0	1	1	0	1	1	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	0	0	1	0	1	1	1	0	0	0	0
Clostridium baratii str. Sullivan	0	0	0	1	1	1	0	1	0	1	0	1	0	1	1	0	1	0	1	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0
Pseudomonas parafulva	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0
Parvimonas micra	0	0	0	1	1	1	0	0	0	1	0	1	0	1	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
Deinococcus swuensis	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	0	1	1	0	1	1	0	0	1	0	0	1	0	1	1	0	0
Bifidobacterium kashiwanohense PV20-2	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1	0	1	0	1	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0
Bifidobacterium pseudolongum PV8-2	0	0	0	1	1	1	0	0	0	1	0	1	1	0	0	1	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0
Candidatus Methanoplasma termitum	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Bacillus sp. WP8	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	0	1	1	0	1	1	0	0	1	0	0	1	0	0
Vibrio nigripulchritudo	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0
endosymbiont of unidentified scaly snail isolate Monju	0	1	0	1	1	1	0	0	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	0
Hymenobacter sp. DG25B	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0
Sphingopyxis fribergensis	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	0	1	1	1	1	0	1	1	0	0	1	0	0
Clostridium pasteurianum DSM 525 = ATCC 6013	1	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	1	1	1	0	1	1	0	1	0	1	0	1	1	1	0	1	1	0	1	0	0	0	1	0	0
Myroides sp. A21	0	1	1	1	1	1	0	0	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0
Frischella perrara	0	0	0	1	1	0	0	0	0	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	1	1	1	0	1	1	0	0	0	1	1	1	0	1	0	0	1	0	1	0	0	1	1	0	0
Enterobacter cloacae complex sp. 35734	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	0	1	0	0	1	1	0	1
Candidatus Nitrosopelagicus brevis	0	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0
Halocynthiibacter arcticus	1	1	0	1	1	1	0	0	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	0
Coriobacteriaceae bacterium 68-1-3	0	0	0	1	1	1	0	0	0	1	0	1	1	1	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	1	1	1	0	1	1	1	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0
Coxiella endosymbiont of Amblyomma americanum	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
Mycoplasma flocculare ATCC 27399	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Xanthomonas sacchari	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0
Allofrancisella guangzhouensis	0	1	1	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Streptomyces sp. 769	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	0
Staphylococcus hyicus	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	1	0	1	0	0	1	1	0	1
Thermococcus guaymasensis DSM 11113	0	0	0	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	1	0	0
Campylobacter insulaenigrae NCTC 12927	1	1	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	1	1	1	0	0	1	1	0	1	1	0	0	1	0	0
Campylobacter lari subsp. concheus LMG 11760	1	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	0	1	1	0	0	0	0	0
Campylobacter sp. RM16704	1	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	0	1	0	1	1	0	0	0	0	0
Campylobacter subantarcticus LMG 24374	1	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	0	1	1	0	0	1	0	0
Campylobacter volucris LMG 24379	1	1	0	1	1	1	0	0	1	0	1	1	0	1	0	1	1	1	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	1	1	1	0	0	1	1	0	1	1	0	0	1	0	0
Campylobacter lari NCTC 11845	1	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0	1	0	1	1	1	0	0	1	1	0	1	1	0	0	0	0	0
Campylobacter peloridis LMG 23910	1	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	1	1	0	0	0	1	0	1	1	1	0	0	0	1	0	1	1	0	0	0	0	0
Rhizobium gallicum bv. gallicum R602	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	0
Geobacter pickeringii	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0
Azotobacter chroococcum NCIMB 8003	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0
Pseudomonas balearica DSM 6083	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1
Neisseria elongata subsp. glycolytica ATCC 29315	0	1	0	1	1	1	0	0	0	1	0	1	0	1	0	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0
Jeotgalibacillus malaysiensis	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	0	1	1	0	1	1	0	1	1	0	0	1	0	0	1	0	0
Corynebacterium humireducens NBRC 106098 = DSM 45392	0	1	1	1	1	1	0	0	0	1	0	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0
Celeribacter indicus	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	1	0	1	1	0	0
Streptomyces albus	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	0
Geoalkalibacter subterraneus	0	0	0	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	0	1	1	1	0	1	0	1	1	1	0	1	0	0
Methyloceanibacter caenitepidi	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	1	0	1	0	0	1	1	0	1	1	0	1	1	0	1	1	0	0	1	0	1
Candidatus Ishikawaella capsulata Mpkobe	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Methanothermobacter sp. CaT2	0	0	0	1	1	1	1	1	0	1	0	0	0	1	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0
Thiolapillus brandeum	0	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	0
Sulfuritalea hydrogenivorans sk43H	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	0	1	0	0	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0
Thermotoga caldifontis AZM44c09	0	0	0	1	1	1	0	1	0	1	0	1	0	1	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0
Thermotoga profunda AZM34c06	0	0	0	1	1	1	0	1	0	1	0	1	0	1	0	0	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0
Winogradskyella sp. PG-2	0	1	1	1	1	1	0	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	0	0	1	0	0	1	0	1	1	0	0	1	0	0
