	sulfur	carbon	oxygen	iron	nitrogen
GCF_000143225.1	0.01	0.06	0.57	0.48	0.8
GCF_001483945.1	0.01	0.06	0.57	0.51	0.8
GCF_000953735.1	0.01	0.02	0.34	0.82	0.55
GCF_000280925.3	0.01	0.05	0.35	0.5	0.73
GCF_000253015.1	0.01	0.01	0.15	0.14	0.33
GCF_000064305.2	0.01	0.06	0.16	0.51	0.42
GCF_000800475.2	0.01	0.0	0.16	0.06	0.16
GCF_001281405.1	0.01	0.01	0.15	0.14	0.32
GCF_000463015.1	0.01	0.17	0.42	0.36	0.74
GCF_000218545.1	0.01	0.03	0.33	0.32	0.64
GCF_000024225.1	0.01	0.01	0.1	0.06	0.1
GCF_001281485.1	0.01	0.04	0.32	0.45	0.62
GCF_000183665.1	0.01	0.0	0.15	0.07	0.3
GCF_001021085.1	0.01	0.0	0.15	0.07	0.28
GCF_000287355.1	0.01	0.0	0.08	0.01	0.05
GCF_000012685.1	0.01	0.03	0.31	0.51	0.72
GCF_001188855.1	0.01	0.01	0.18	0.19	0.4
GCF_001042675.1	0.01	0.06	0.09	0.1	0.08
GCF_000012145.1	0.01	0.01	0.17	0.38	0.32
GCF_001318295.1	0.01	0.07	0.24	0.31	0.18
GCF_000330885.1	0.01	0.08	0.59	0.35	0.79
GCF_000829415.1	0.01	0.05	0.25	0.49	0.67
GCF_001029265.1	0.01	0.07	0.0	0.09	0.04
GCF_000767055.1	0.01	0.01	0.42	0.26	0.45
GCF_001042695.1	0.01	0.08	0.07	0.01	0.08
GCF_001583415.1	0.01	0.04	0.34	0.23	0.68
GCF_000008985.1	0.01	0.02	0.11	0.16	0.35
GCF_000243115.2	0.01	0.03	0.27	0.53	0.61
GCF_000027225.1	0.01	0.04	0.24	0.28	0.53
GCF_000014245.1	0.01	0.03	0.33	0.34	0.67
GCF_000020425.1	0.01	0.0	0.19	0.08	0.15
GCF_000400935.1	0.01	0.0	0.05	0.01	0.03
GCF_001050435.1	0.01	0.01	0	0.51	0.12
GCF_000014345.1	0.01	0.02	0.17	0.38	0.3
GCF_000007585.1	0.01	0.04	0	0.47	0.2
GCF_000015445.1	0.01	0.01	0.15	0.15	0.33
GCF_000197735.1	0.01	0.01	0.32	0.22	0.57
GCF_000196295.1	0.01	0.03	0.18	0.3	0.53
GCF_000196615.1	0.01	0.05	0.29	0.47	0.65
GCF_000144405.1	0.01	0.01	0	0.28	0.27
GCF_000626635.1	0.01	0.03	0.33	0.57	0.46
GCF_000219585.1	0.01	0.04	0.34	0.72	0.66
GCF_000969645.2	0.01	0.04	0.42	0.68	0.69
GCF_001584185.1	0.01	0.05	0.41	0.37	0.73
GCF_000612685.1	0.01	0.09	0.32	0.39	0.69
GCF_000968175.1	0.01	0.03	0.3	0.18	0.55
GCF_000442645.1	0.01	0.0	0.32	0.24	0.49
GCF_000981525.1	0.01	0.02	0.13	0.05	0.15
GCF_000019745.1	0.01	0.04	0.19	0.46	0.48
GCF_001189535.1	0.0	0.03	0.35	0.52	0.67
GCF_000018205.1	0.0	0.01	0.17	0.4	0.29
GCF_000341355.1	0.0	0.01	0.15	0.18	0.34
GCF_001687565.2	0.0	0.02	0.29	0.34	0.47
GCF_000815225.1	0.0	0.02	0.11	0.15	0.33
GCF_000012725.1	0.0	0.02	0.43	0.45	0.66
GCF_000024125.1	0.0	0.02	0.32	0.41	0.46
GCF_001281465.1	0.0	0.04	0.31	0.41	0.72
GCF_000013665.1	0.0	0.03	0.39	0.66	0.54
GCF_000008285.1	0.0	0.02	0.27	0.14	0.29
GCF_000252975.1	0.0	0.01	0.27	0.14	0.29
GCF_000297075.2	0.0	0.04	0.38	0.75	0.73
GCF_001458475.1	0.0	0.03	0.2	0.31	0.48
GCF_000495935.2	0.0	0.03	0.26	0.24	0.55
GCF_001542815.1	0.0	0.2	0.66	0.59	0.8
GCF_000242935.2	0.0	0.05	0.65	0.57	0.63
GCF_000283275.1	0.0	0.03	0.36	0.41	0.61
GCF_000009845.1	0.0	0.08	0.02	0.03	0.02
GCF_000020565.1	0.0	0.02	0.02	0.06	0.19
GCF_000223215.1	0.0	0.06	0.01	0.16	0.22
GCF_001518815.1	0.0	0.06	0.31	0.5	0.69
GCF_000801315.1	0.0	0.01	0.19	0.49	0.52
GCF_000759475.1	0.0	0.05	0.39	0.53	0.69
GCF_001483865.1	0.0	0.07	0.58	0.4	0.73
GCF_000023585.1	0.0	0.03	0.3	0.35	0.63
GCF_000153485.2	0.0	0.06	0.3	0.38	0.39
GCF_000300295.3	0.0	0.03	0.12	0.11	0.38
GCF_000024465.1	0.0	0.06	0.3	0.4	0.66
GCF_000092845.1	0.0	0.07	0.01	0.16	0.24
GCF_000183155.1	0.0	0.1	0.08	0.61	0.39
GCF_000008805.1	0.0	0.03	0.18	0.26	0.51
GCF_000024005.1	0.0	0.03	0.32	0.46	0.74
GCF_000219915.2	0.0	0.04	0.09	0.18	0.51
GCF_000973085.1	0.0	0.0	0	0.08	0.03
GCF_000195085.1	0.0	0.04	0.33	0.39	0.43
GCF_000725405.1	0.0	0.03	0.33	0.34	0.59
GCF_000174395.2	0.01	0.01	0.16	0.04	0.11
GCF_000172155.1	0.01	0.04	0.4	0.42	0.64
GCF_000331735.1	0.01	0.05	0.34	0.51	0.74
GCF_000185745.1	0.01	0.02	0.1	0.43	0.43
GCF_000226625.1	0.01	0.02	0.1	0.4	0.43
GCF_000269925.1	0.01	0.01	0.12	0.05	0.11
GCF_000026185.1	0.01	0.04	0.31	0.4	0.62
GCF_000143845.1	0.01	0.0	0.04	0.09	0.11
GCF_000504125.1	0.01	0.0	0.12	0.0	0.11
GCF_000152825.2	0.01	0.03	0.29	0.36	0.61
GCF_000287295.1	0.01	0.06	0.13	0.07	0.06
GCF_000011225.1	0.01	0.1	0.01	0.0	0.05
GCF_000953355.1	0.01	0.05	0.32	0.19	0.58
GCF_000261025.1	0.01	0.01	0	0.4	0.27
GCF_000833575.1	0.01	0.03	0.25	0.29	0.38
GCF_000025225.2	0.01	0.04	0.14	0.29	0.14
GCF_000523235.1	0.01	0.04	0.42	0.27	0.72
GCF_000009005.1	0.01	0.01	0.23	0.22	0.4
GCF_001190965.1	0.01	0.09	0.28	0.28	0.61
GCF_000746585.1	0.01	0.02	0.13	0.36	0.35
GCF_000612055.1	0.01	0.0	0	0.07	0.33
GCF_000196435.1	0.01	0.01	0.15	0.39	0.37
GCF_000341345.1	0.01	0.01	0.37	0.21	0.5
GCF_000340795.1	0.01	0.04	0.09	0.05	0.27
GCF_001412595.1	0.01	0.05	0.37	0.49	0.73
GCF_000006865.1	0.01	0.02	0.14	0.06	0.16
GCF_000550785.1	0.01	0.01	0.37	0.28	0.45
GCF_000010545.1	0.01	0.04	0.31	0.45	0.73
GCF_000701165.1	0.01	0.06	0.39	0.45	0.74
GCF_001444445.1	0.01	0.0	0	0.41	0.26
GCF_000262325.2	0.01	0.04	0.42	0.52	0.73
GCF_000306805.1	0.01	0.0	0.09	0.01	0.08
GCF_000012265.1	0.01	0.08	0.42	0.66	0.7
GCF_001547895.1	0.01	0.04	0.42	0.66	0.72
GCF_000755725.1	0.02	0.06	0.31	0.52	0.71
GCF_000046705.1	0.02	0.01	0.09	0.16	0.32
GCF_000008205.1	0.02	0.09	0.0	0.02	0.01
GCF_000691605.1	0.02	0.01	0.11	0.6	0.52
GCF_000007125.1	0.02	0.02	0.35	0.38	0.63
GCF_000019925.1	0.02	0.05	0.38	0.45	0.75
GCF_000242255.2	0.02	0.04	0.38	0.52	0.69
GCF_000299115.1	0.02	0.04	0.22	0.38	0.49
GCF_001310085.1	0.02	0.08	0.28	0.35	0.57
GCF_000157355.2	0.02	0.02	0.13	0.04	0.17
GCF_000147815.2	0.02	0.03	0.32	0.27	0.7
GCF_000468615.2	0.02	0.01	0.33	0.51	0.52
GCF_001579805.1	0.02	0.04	0.44	0.63	0.74
GCF_000974425.1	0.02	0.04	0.34	0.34	0.72
GCF_001278095.1	0.02	0.04	0.32	0.22	0.7
GCF_000195555.1	0.02	0.02	0.11	0.2	0.43
GCF_000599545.1	0.02	0.08	0.34	0.23	0.72
GCF_000831005.1	0.02	0.04	0.11	0.33	0.58
GCF_001189515.2	0.02	0.01	0.08	0.12	0.16
GCF_000177195.2	0.02	0.02	0.32	0.19	0.7
GCF_000143725.1	0.02	0.02	0.01	0.16	0.21
GCF_000179035.2	0.02	0.02	0.0	0.07	0.01
GCF_000277795.1	0.02	0.0	0	0.26	0.01
GCF_000477415.1	0.02	0.02	0.0	0.07	0.01
GCF_000508245.1	0.02	0.0	0.01	0.07	0.01
GCF_001638925.1	0.02	0.03	0.33	0.43	0.67
GCF_000355675.1	0.03	0.03	0.39	0.64	0.57
GCF_000225345.1	0.03	0.05	0.07	0.09	0.18
GCF_001021975.1	0.03	0.02	0.19	0.27	0.55
GCF_001442755.1	0.03	0.04	0.45	0.51	0.72
GCF_000186985.1	0.03	0.0	0.01	0.12	0.01
GCF_000238995.1	0.03	0.0	0.01	0.12	0.01
GCF_001278035.1	0.03	0.07	0.3	0.64	0.66
GCF_000940805.1	0.03	0.04	0.6	0.77	0.66
GCF_000023105.1	0.03	0.03	0.26	0.24	0.65
GCF_000166275.1	0.03	0.02	0.26	0.42	0.49
GCF_001267395.1	0.03	0.0	0.08	0.02	0.14
GCF_000026065.1	0.03	0.01	0.12	0.25	0.08
GCF_001011035.1	0.03	0.04	0.32	0.22	0.67
GCF_001578105.1	0.03	0.04	0.35	0.68	0.69
GCF_000230995.2	0.03	0.08	0.61	0.37	0.79
GCF_000739105.1	0.03	0.02	0.32	0.26	0.68
GCF_000012225.1	0.03	0.07	0.02	0.03	0.01
GCF_000022645.2	0.03	0.06	0.4	0.56	0.72
GCF_000755985.1	0.03	0.04	0.42	0.45	0.75
GCF_001187785.1	0.03	0.03	0.22	0.81	0.55
GCF_001676765.1	0.03	0.12	0.6	0.37	0.81
GCF_000494915.1	0.03	0.05	0.35	0.37	0.68
GCF_001267885.1	0.03	0.03	0.3	0.26	0.71
GCF_000013625.1	0.03	0.05	0.28	0.52	0.73
GCF_000255295.1	0.03	0.04	0.26	0.52	0.65
GCF_000023185.1	0.03	0.05	0.59	0.62	0.83
GCF_000007325.1	0.03	0.03	0.18	0.06	0.2
GCF_000009425.1	0.04	0.02	0.18	0.06	0.17
GCF_000348785.1	0.04	0.12	0.34	0.33	0.69
GCF_000521505.1	0.04	0.08	0.36	0.46	0.71
GCF_000981765.1	0.04	0.03	0.26	0.39	0.52
GCF_000022905.1	0.04	0.05	0.23	0.31	0.39
GCF_001050135.1	0.04	0.03	0.3	0.53	0.48
GCF_001499615.1	0.04	0.04	0.29	0.55	0.67
GCF_000023725.1	0.04	0.0	0.1	0.33	0.41
GCF_000271405.2	0.04	0.08	0.14	0.06	0.14
GCF_000017405.1	0.04	0.03	0.32	0.41	0.67
GCF_000024345.1	0.04	0.03	0.34	0.22	0.71
GCF_001028665.1	0.04	0.04	0.4	0.45	0.75
GCF_000739455.1	0.04	0.17	0.32	0.32	0.47
GCF_000955665.1	0.04	0.03	0.26	0.24	0.55
GCF_000348725.1	0.04	0.01	0.15	0.39	0.4
GCF_000525675.1	0.04	0.0	0.11	0.39	0.45
GCF_000023045.1	0.04	0.0	0.26	0.34	0.39
GCF_000341385.1	0.04	0.01	0.15	0.24	0.38
GCF_000385525.1	0.04	0.04	0.4	0.56	0.73
GCF_000148625.1	0.04	0.11	0.0	0.15	0.33
GCF_000024025.1	0.04	0.03	0.32	0.26	0.74
GCF_000311765.1	0.04	0.04	0.38	0.54	0.66
GCF_000967895.1	0.05	0.02	0.44	0.83	0.62
GCF_000016765.1	0.05	0.03	0.33	0.78	0.75
GCF_000007705.1	0.05	0.04	0.43	0.54	0.69
GCF_001412655.1	0.05	0.03	0.31	0.49	0.6
GCF_000025345.1	0.05	0.04	0.33	0.27	0.74
GCF_000818035.1	0.05	0.03	0.21	0.39	0.53
GCF_000756775.1	0.05	0.05	0.35	0.77	0.69
GCF_000319385.1	0.05	0.02	0.22	0.33	0.33
GCF_000510265.1	0.05	0.03	0.23	0.31	0.35
GCF_000176935.3	0.05	0.19	0.65	0.5	0.81
GCF_000007245.1	0.05	0.06	0.39	0.43	0.59
GCF_000026205.1	0.05	0.1	0.02	0.03	0.02
GCF_000212375.1	0.05	0.06	0	0.14	0.17
GCF_000023245.1	0.05	0.04	0.36	0.27	0.71
GCF_000024805.1	0.05	0.03	0.35	0.68	0.7
GCF_000455605.1	0.05	0.0	0.17	0.34	0.41
GCF_000597885.1	0.05	0.03	0.32	0.51	0.63
GCF_000027205.1	0.05	0.05	0.34	0.45	0.6
GCF_000807225.1	0.05	0.02	0.26	0.43	0.5
GCF_000262205.1	0.05	0.03	0.02	0.07	0.33
GCF_000022725.1	0.05	0.01	0.15	0.39	0.38
GCF_001547995.1	0.05	0.04	0.42	0.35	0.62
GCF_001442535.1	0.05	0.05	0.33	0.64	0.73
GCF_000230275.1	0.06	0.01	0	0.08	0.19
GCF_000166395.1	0.06	0.04	0.33	0.35	0.56
GCF_001639105.1	0.06	0.06	0.53	0.48	0.76
GCF_000069925.1	0.06	0.1	0.02	0.03	0.02
GCF_000085865.1	0.06	0.08	0.0	0.1	0.01
GCF_000828855.1	0.06	0.08	0.0	0.15	0.01
GCF_001547975.1	0.06	0.08	0.0	0.15	0.01
GCF_001557535.1	0.06	0.05	0.43	0.59	0.76
GCF_001482365.1	0.06	0.01	0.33	0.26	0.57
GCF_000348745.1	0.06	0.01	0.09	0.36	0.4
GCF_000147835.2	0.06	0.03	0.32	0.69	0.7
GCF_000069945.1	0.06	0.0	0.28	0.32	0.4
GCF_001652485.1	0.06	0.03	0.33	0.43	0.66
GCF_000011065.1	0.06	0.08	0.14	0.49	0.42
GCF_000009625.1	0.06	0.08	0.58	0.37	0.79
GCF_000941055.1	0.06	0.01	0.31	0.36	0.44
GCF_000019145.1	0.06	0.03	0.33	0.69	0.69
GCF_001477625.1	0.06	0.04	0.31	0.77	0.73
GCF_001274535.1	0.06	0.03	0.05	0.07	0.21
GCF_000016565.1	0.06	0.04	0.28	0.73	0.7
GCF_000020125.1	0.06	0.04	0.43	0.48	0.73
GCF_000835165.1	0.06	0.01	0.44	0.23	0.46
GCF_000007605.1	0.06	0.12	0.03	0.05	0.06
GCF_000236925.1	0.06	0.01	0.23	0.22	0.4
GCF_000010825.1	0.06	0.04	0.3	0.62	0.64
GCF_000784875.1	0.07	0.04	0.3	0.45	0.63
GCF_000022105.1	0.07	0.01	0.01	0.16	0.22
GCF_000698845.1	0.07	0.09	0.59	0.4	0.82
GCF_000325705.1	0.07	0.02	0.25	0.63	0.52
GCF_000024565.1	0.07	0.0	0.01	0.08	0.02
GCF_000025405.2	0.07	0.04	0.31	0.5	0.63
GCF_001650215.1	0.07	0.03	0.32	0.26	0.72
GCF_001314305.1	0.07	0.03	0.28	0.73	0.65
GCF_001294425.1	0.07	0.03	0.42	0.26	0.71
GCF_000010285.1	0.07	0.01	0.39	0.25	0.48
GCF_001660045.1	0.07	0.03	0.3	0.26	0.71
GCF_000009945.1	0.07	0.12	0.01	0.06	0.07
GCF_000204135.1	0.07	0.12	0.03	0.05	0.07
GCF_900078695.1	0.07	0.03	0.32	0.5	0.71
GCF_000242335.1	0.07	0.02	0	0.5	0.26
GCF_001307295.1	0.07	0.04	0.32	0.67	0.69
GCF_900086555.1	0.07	0.0	0.1	0.39	0.46
GCF_000980835.1	0.07	0.13	0.33	0.3	0.33
GCF_000953195.1	0.07	0.08	0.03	0.11	0.1
GCF_000008725.1	0.07	0.14	0.02	0.06	0.05
GCF_000230695.2	0.07	0.06	0.29	0.45	0.63
GCF_000931465.1	0.08	0.04	0.42	0.54	0.72
GCF_000185965.1	0.08	0.05	0.27	0.67	0.67
GCF_000827005.1	0.08	0.04	0.33	0.2	0.69
GCF_000025925.1	0.08	0.02	0.1	0.13	0.32
GCF_000006725.1	0.08	0.04	0.39	0.43	0.57
GCF_000009765.2	0.08	0.04	0.35	0.25	0.72
GCF_001281115.1	0.08	0.03	0.31	0.27	0.59
GCF_000328725.1	0.08	0.09	0.0	0.15	0.16
GCF_000092865.1	0.08	0.03	0.34	0.31	0.68
GCF_000801275.2	0.08	0.02	0.37	0.77	0.57
GCF_000019225.1	0.08	0.03	0.39	0.75	0.54
GCF_000317895.1	0.08	0.0	0.11	0.6	0.49
GCF_000968055.1	0.08	0.01	0.07	0.11	0.07
GCF_001465835.2	0.08	0.06	0.34	0.34	0.45
GCF_000006685.1	0.08	0.12	0.01	0.06	0.06
GCF_000191925.1	0.08	0.12	0.03	0.05	0.08
GCF_001078275.1	0.08	0.04	0.35	0.5	0.73
GCF_001611795.1	0.08	0.04	0.33	0.3	0.7
GCF_000224985.1	0.08	0.02	0.16	0.07	0.08
GCF_000359525.1	0.08	0.02	0.31	0.22	0.7
GCF_001611855.1	0.09	0.02	0.44	0.22	0.72
GCF_000270245.1	0.09	0.02	0.33	0.29	0.7
GCF_000304455.1	0.09	0.06	0.05	0.01	0.07
GCF_000941075.1	0.09	0.09	0.0	0.05	0.16
GCF_000007205.1	0.09	0.14	0.02	0.05	0.07
GCF_000026025.1	0.09	0.14	0.02	0.06	0.07
GCF_000471025.2	0.09	0.14	0.02	0.06	0.07
GCF_000583875.1	0.09	0.12	0.01	0.06	0.06
GCF_001455205.1	0.09	0.03	0.34	0.69	0.66
GCF_000189415.1	0.09	0.01	0.13	0.27	0.36
GCF_000013765.1	0.09	0.01	0.27	0.69	0.5
GCF_000328565.1	0.09	0.05	0.37	0.29	0.72
GCF_000816025.1	0.09	0.08	0.42	0.19	0.71
GCF_001077815.2	0.09	0.03	0.31	0.58	0.64
GCF_000265505.1	0.09	0.02	0.21	0.41	0.42
GCF_000967425.1	0.09	0.04	0.45	0.77	0.76
GCF_000302535.1	0.09	0.05	0.4	0.44	0.73
GCF_000830005.1	0.09	0.04	0.41	0.19	0.72
GCF_000952035.1	0.09	0.04	0.41	0.23	0.73
GCF_000931445.1	0.09	0.03	0.33	0.21	0.71
GCF_000953535.1	0.09	0.02	0.12	0.33	0.26
GCF_000283975.1	0.09	0.0	0.1	0.05	0.07
GCF_000785555.1	0.09	0.02	0.24	0.34	0.46
GCF_001411495.1	0.09	0.04	0.4	0.45	0.75
GCF_000186265.1	0.09	0.01	0.32	0.51	0.53
GCF_000400955.1	0.09	0.01	0.02	0.02	0.02
GCF_001017435.1	0.09	0.04	0.43	0.57	0.74
GCF_000317975.2	0.09	0.01	0.11	0.06	0.13
GCF_000452705.1	0.1	0.04	0.3	0.22	0.66
GCF_000973725.1	0.1	0.03	0.37	0.39	0.56
GCF_001605725.1	0.1	0.02	0.44	0.21	0.72
GCF_000176855.2	0.1	0.05	0.27	0.4	0.7
GCF_000759535.1	0.1	0.03	0.28	0.49	0.64
GCF_000008365.1	0.1	0.14	0.0	0.15	0.16
GCF_000829055.1	0.1	0.07	0.05	0.05	0.1
GCF_000027265.1	0.1	0.04	0.34	0.46	0.59
GCF_001610975.1	0.1	0.03	0.34	0.8	0.63
GCF_000183365.1	0.1	0.05	0.04	0.03	0.0
GCF_000007105.1	0.1	0.07	0.48	0.36	0.44
GCF_000027345.1	0.1	0.14	0.0	0.03	0.16
GCF_001606005.1	0.1	0.03	0.23	0.23	0.52
GCF_001280305.1	0.1	0.02	0.29	0.37	0.58
GCF_000217675.1	0.1	0.04	0.25	0.77	0.49
GCF_000011685.1	0.1	0.03	0.4	0.67	0.48
GCF_000442435.1	0.1	0.09	0.59	0.36	0.8
GCF_000023165.1	0.1	0.05	0.04	0.03	0.0
GCF_001611035.1	0.1	0.01	0.09	0.12	0.05
GCF_000008585.1	0.1	0.04	0.33	0.2	0.69
GCF_000250675.2	0.1	0.03	0.36	0.18	0.71
GCF_000328705.1	0.1	0.05	0.45	0.26	0.73
GCF_000166295.1	0.11	0.02	0.42	0.61	0.68
GCF_000027325.1	0.11	0.13	0.0	0.05	0.24
GCF_000265405.1	0.11	0.03	0.28	0.61	0.48
GCF_000565215.1	0.11	0.03	0.01	0.02	0.01
GCF_000500935.1	0.11	0.0	0.04	0.01	0.03
GCF_000194745.1	0.11	0.04	0.41	0.42	0.77
GCF_001278715.1	0.11	0.04	0.29	0.22	0.6
GCF_000011445.1	0.11	0.09	0.0	0.03	0.24
GCF_000152945.2	0.11	0.01	0.34	0.33	0.36
GCF_000988565.1	0.11	0.03	0.35	0.49	0.72
GCF_000517365.1	0.11	0.03	0.02	0.1	0.03
GCF_000008885.1	0.11	0.22	0.17	0.1	0.11
GCF_000786695.1	0.11	0.07	0.4	0.37	0.73
GCF_000576555.1	0.11	0.03	0.39	0.49	0.62
GCF_000092385.1	0.11	0.03	0.31	0.27	0.7
GCF_000972865.1	0.11	0.07	0.27	0.64	0.66
GCF_000299335.2	0.11	0.03	0.37	0.62	0.56
GCF_000507245.1	0.11	0.05	0.05	0.18	0.33
GCF_000020065.1	0.11	0.03	0.0	0.03	0.01
GCF_000253255.1	0.11	0.03	0.43	0.71	0.72
GCF_000439435.1	0.11	0.03	0.01	0.02	0.01
GCF_000009485.1	0.11	0.04	0.4	0.45	0.75
GCF_000014085.1	0.11	0.03	0.32	0.44	0.71
GCF_000439455.1	0.11	0.01	0.01	0.02	0.01
GCF_001281045.1	0.11	0.03	0.01	0.02	0.01
GCF_000012945.1	0.11	0.06	0.4	0.44	0.74
GCF_000829375.1	0.11	0.01	0.2	0.23	0.46
GCF_000724625.1	0.11	0.08	0.3	0.47	0.66
GCF_000761155.1	0.11	0.05	0.38	0.51	0.66
GCF_001693675.1	0.12	0.04	0.32	0.21	0.71
GCF_000012085.1	0.12	0.01	0.05	0.01	0.02
GCF_000956315.1	0.12	0.01	0.05	0.01	0.02
GCF_000299995.1	0.12	0.03	0.36	0.65	0.5
GCF_000008685.2	0.12	0.05	0.05	0.13	0.03
GCF_000222835.1	0.12	0.05	0.05	0.13	0.03
GCF_000445425.4	0.12	0.0	0.04	0.01	0.03
GCF_001597285.1	0.12	0.03	0.29	0.73	0.69
GCF_000164695.2	0.12	0.09	0.25	0.19	0.42
GCF_001484935.1	0.12	0.05	0.17	0.19	0.57
GCF_001274875.1	0.12	0.07	0.01	0.02	0.01
GCF_000012765.1	0.12	0.05	0.04	0.03	0.0
GCF_000025365.1	0.12	0.14	0.0	0.02	0.0
GCF_000069185.1	0.12	0.02	0.44	0.23	0.72
GCF_000416365.2	0.12	0.03	0.42	0.2	0.72
GCF_000025845.1	0.12	0.14	0.0	0.35	0.24
GCF_000007805.1	0.12	0.05	0.4	0.21	0.71
GCF_000012205.1	0.12	0.05	0.38	0.2	0.68
GCF_000300135.1	0.12	0.0	0.08	0.05	0.05
GCF_000019685.1	0.12	0.0	0.04	0.13	0.02
GCF_000222305.1	0.12	0.03	0.05	0.27	0.03
GCF_001310225.1	0.12	0.02	0.3	0.5	0.45
GCF_000008245.1	0.12	0.14	0.0	0.15	0.24
GCF_000219805.1	0.12	0.0	0.05	0.63	0.04
GCF_000292915.1	0.12	0.05	0.39	0.45	0.75
GCF_000015325.1	0.12	0.05	0.26	0.4	0.69
GCF_000723165.1	0.12	0.04	0.35	0.51	0.75
GCF_000265465.1	0.12	0.29	0.09	0.52	0.22
GCF_000183425.1	0.13	0.01	0.32	0.43	0.44
GCF_000875755.1	0.13	0.05	0.04	0.03	0.0
GCF_001314945.1	0.13	0.02	0.11	0.24	0.08
GCF_000988065.1	0.13	0.0	0.0	0.15	0.01
GCF_001190945.1	0.13	0.03	0.35	0.2	0.66
GCF_000803645.1	0.13	0.03	0.36	0.68	0.66
GCF_001587175.1	0.13	0.06	0.02	0.02	0.07
GCF_001664485.1	0.13	0.05	0.6	0.4	0.8
GCF_000196215.1	0.13	0.05	0.05	0.13	0.03
GCF_000070465.1	0.13	0.05	0.3	0.47	0.68
GCF_000731295.1	0.13	0.07	0.6	0.38	0.8
GCF_000213655.1	0.13	0.03	0.35	0.55	0.56
GCF_000011825.1	0.13	0.1	0.04	0.09	0.06
GCF_000006625.1	0.13	0.14	0.0	0.03	0.24
GCF_000021265.1	0.13	0.11	0.0	0.03	0.41
GCF_000196855.1	0.13	0.0	0.08	0.05	0.07
GCF_000441535.1	0.13	0.0	0.12	0.08	0.12
GCF_000742835.1	0.13	0.0	0.01	0.38	0.37
GCF_000008305.1	0.13	0.12	0	0.03	0.02
GCF_000310105.2	0.13	0.02	0.35	0.64	0.52
GCF_000023285.1	0.13	0.12	0.09	0.52	0.24
GCF_000170955.2	0.13	0.05	0.05	0.13	0.03
GCF_000815065.1	0.13	0.14	0.0	0.02	0.24
GCF_000006905.1	0.14	0.03	0.36	0.45	0.67
GCF_000737515.1	0.14	0.01	0.27	0.5	0.61
GCF_001641285.1	0.14	0.04	0.29	0.42	0.62
GCF_001456115.1	0.14	0.02	0.33	0.5	0.68
GCF_000015385.1	0.14	0.01	0.15	0.3	0.04
GCF_000565175.1	0.14	0.05	0.04	0.02	0.01
GCF_000007485.1	0.14	0.1	0.22	0.25	0.18
GCF_000012245.1	0.14	0.05	0.38	0.22	0.69
GCF_000517305.1	0.14	0.04	0.27	0.57	0.67
GCF_001647715.1	0.14	0.03	0.44	0.51	0.72
GCF_000012325.1	0.14	0.03	0.27	0.8	0.64
GCF_000013325.1	0.14	0.03	0.33	0.67	0.68
GCF_001294605.1	0.14	0.04	0.37	0.23	0.66
GCF_000175095.2	0.14	0.03	0.34	0.71	0.66
GCF_000017305.1	0.14	0.01	0.38	0.22	0.56
GCF_001534745.1	0.14	0.03	0.27	0.49	0.67
GCF_001406115.1	0.14	0.03	0.41	0.2	0.7
GCF_000016365.1	0.14	0.03	0.42	0.19	0.72
GCF_000524555.1	0.14	0.06	0.0	0.15	0.16
GCF_000010605.1	0.15	0.02	0.32	0.21	0.7
GCF_000261345.2	0.15	0.02	0.32	0.21	0.7
GCF_000018545.1	0.15	0.07	0.57	0.71	0.8
GCF_000336465.1	0.15	0.04	0.33	0.52	0.7
GCF_000341465.2	0.15	0.05	0.28	0.33	0.65
GCF_000011045.1	0.15	0.01	0.14	0.05	0.15
GCF_000014525.1	0.15	0.02	0.15	0.05	0.14
GCF_000176115.2	0.15	0.03	0.31	0.21	0.72
GCF_001652565.1	0.15	0.05	0.35	0.75	0.76
GCF_000063605.1	0.15	0.06	0.0	0.15	0.16
GCF_000183385.1	0.15	0.06	0.0	0.15	0.16
GCF_001648175.1	0.15	0.05	0.4	0.34	0.69
GCF_000182745.2	0.15	0.03	0.34	0.59	0.62
GCF_000270085.1	0.15	0.0	0.07	0.07	0.03
GCF_000737325.1	0.15	0.02	0.34	0.46	0.64
GCF_000190555.1	0.15	0.02	0.26	0.35	0.5
GCF_001442785.1	0.15	0.03	0.33	0.4	0.72
GCF_000165485.1	0.15	0.03	0.33	0.4	0.69
GCF_000512205.2	0.15	0.09	0.56	0.67	0.78
GCF_000018445.1	0.15	0.04	0.25	0.2	0.59
GCF_000013005.1	0.15	0.04	0.35	0.48	0.65
GCF_001620005.1	0.15	0.02	0.35	0.21	0.71
GCF_000220625.1	0.15	0.23	0.15	0.56	0.28
GCF_000214785.1	0.15	0.01	0.11	0.51	0.06
GCF_000024965.1	0.15	0.07	0.22	0.28	0.58
GCF_000347675.2	0.16	0.03	0.39	0.74	0.65
GCF_000218875.1	0.16	0.07	0.49	0.36	0.44
GCF_001687585.2	0.16	0.02	0.31	0.34	0.45
GCF_000577275.1	0.16	0.03	0.33	0.72	0.74
GCF_000224105.1	0.16	0.02	0.04	0.03	0.0
GCF_000012365.1	0.16	0.04	0.4	0.44	0.75
GCF_001430865.1	0.16	0.37	0.23	0.33	0.26
GCF_000755185.1	0.16	0.02	0.35	0.33	0.43
GCF_000788395.1	0.16	0.01	0.33	0.65	0.43
