# dom_assign_file=gen_genF/genomes_refseq_nr_22122016_size250_cover10.faa.out.hmmsearch.tab
# list_file=Feli.txt
# RefSeq_file=assembly_refseq.nr2016.txt
# PSEUDOCOUNT=0.8

# number of taxa in Feli.txt = 32

	PF00032	PF00033	PF00034	PF00115	PF00116	PF00355	PF00378	PF00465	PF00501	PF00510	PF00550	PF00668	PF01106	PF01154	PF01521	PF01592	PF01794	PF02167	PF02421	PF02535	PF03169	PF03264	PF07664	PF07670	PF08022	PF08030	PF08540	PF09699	PF10399	PF11854	PF13434	PF13523	PF14522
Sphingobacterium sp. ML3W	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	0	0	1	1	1	0	0	1	0	0	1	0	1
Candidatus Baumannia cicadellinicola	0	0	0	1	1	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Treponema putidum	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Corynebacterium sp. ATCC 6931	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	0	0	0	1	1	0	1	1	0	0	0	1	0	0
Arthrobacter sp. A3	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Candidatus Izimaplasma sp. HR1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0
Burkholderia cenocepacia	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	0	1	1	0	1	0	1	1	0	1	1	0
Burkholderia oklahomensis	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	1	1	0
Paenibacillus durus	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	0	0	1	0	0	0	1	1	0
Jeotgalicoccus saudimassiliensis	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0
Pseudomonas saudiphocaensis	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	0	1	0	1
Pluralibacter gergoviae	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	0	1	0	1	0	0	1	1	1
Cedecea neteri	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	0	0	1	1	1	0	0	0	1	0	0	1	1	1
Prochlorococcus sp. MIT 0604	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Prochlorococcus sp. MIT 0801	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Achromobacter xylosoxidans C54	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1
Paenibacillus sp. FSL H7-0357	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0
Paenibacillus sp. FSL H7-0737	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0
Paenibacillus sp. FSL P4-0081	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0
Paenibacillus sp. FSL R7-0273	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0
Paenibacillus sp. FSL R7-0331	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0
Paenibacillus borealis	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0
Paenibacillus stellifer	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0
Paenibacillus graminis	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0
Paenibacillus odorifer	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0
Pantoea rwandensis	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	0	1	1	0	1	0	1	0	1	0	0	1	1	1
Pseudomonas cremoricolorata	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	0	1	0	0	1	0	1	1	0
Lactobacillus sp. wkB8	0	0	0	0	0	0	1	1	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0
Pseudomonas rhizosphaerae	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	0	1	0	0	1	0	1	0	0
Streptomyces glaucescens	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0
Methanobacterium formicicum	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0
Vibrio coralliilyticus	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1
Thermoanaerobacter kivui	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	1	0
Sphingomonas taxi	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	1	1	0	0	0	0	1	1	1	1	0
Francisella sp. FSC1006	0	0	0	1	1	0	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0
Corynebacterium doosanense CAU 212 = DSM 45436	0	1	1	1	1	1	1	0	1	1	1	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0
Fervidobacterium islandicum	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0
Novosphingobium pentaromativorans US6-1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	1	0	1
Thermococcus eurythermalis	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	1	0	0	1	0	0	0	1	1	0
Streptomyces sp. CCM_MD2014	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0
Vibrio tubiashii ATCC 19109	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1
Treponema sp. OMZ 838	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Pantoea sp. PSNIH1	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	1	1	1
Pantoea sp. PSNIH2	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1
Pimelobacter simplex	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0
Arthrobacter sp. PAMC 25486	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0
Planococcus sp. PAMC 21323	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0
Methylomonas denitrificans	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	0	1	1	1	0	0	0	1	1	0	1	1	1
Collimonas arenae	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	1	1	0
Pseudoalteromonas sp. OCN003	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	0	1	1	0	1	1	1
Geoglobus acetivorans	0	0	1	1	0	0	1	1	1	0	0	0	1	1	0	1	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	0	1
Clostridium baratii str. Sullivan	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	1	0	1	1	1	0	1	1	0	1	0	0	0	0	0	1	0
Pseudomonas parafulva	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	0	1	0	0	1	1	1	1	0
Parvimonas micra	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Deinococcus swuensis	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0
Bifidobacterium kashiwanohense PV20-2	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium pseudolongum PV8-2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0
Candidatus Methanoplasma termitum	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0
Bacillus sp. WP8	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0
Vibrio nigripulchritudo	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1
endosymbiont of unidentified scaly snail isolate Monju	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	1	1	1	0	0	0	1	1	0	1	0	1
Hymenobacter sp. DG25B	0	0	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	0	1	1	0	0	1	1	0	1	0	0	0	0	1	1	1
Sphingopyxis fribergensis	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	1	0	1	0	1	1	0	1	0	1	1	1	1	0	1
Clostridium pasteurianum DSM 525 = ATCC 6013	0	0	0	0	0	1	1	1	1	0	1	1	1	0	0	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0
Myroides sp. A21	0	0	1	1	1	0	1	1	1	1	1	0	1	1	1	0	0	0	1	1	0	0	1	1	0	1	1	1	0	0	1	1	1
Frischella perrara	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0
Enterobacter cloacae complex sp. 35734	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0
Candidatus Nitrosopelagicus brevis	1	1	0	1	1	1	1	1	1	0	1	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	1	0
Halocynthiibacter arcticus	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1
Coriobacteriaceae bacterium 68-1-3	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1
Coxiella endosymbiont of Amblyomma americanum	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0
Mycoplasma flocculare ATCC 27399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Xanthomonas sacchari	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	1	0	0	1	0	1	1	0
Allofrancisella guangzhouensis	0	0	0	1	1	0	1	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0
Streptomyces sp. 769	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	0	0	1	1	0	0	0	1	1	0
Staphylococcus hyicus	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0
Thermococcus guaymasensis DSM 11113	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	1	0	1	1	0	0	0	1	1	0
Campylobacter insulaenigrae NCTC 12927	1	1	1	1	0	1	0	0	1	0	1	0	1	0	0	1	0	1	1	1	1	1	0	0	0	0	0	1	0	0	1	0	1
Campylobacter lari subsp. concheus LMG 11760	1	1	1	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	0	1
Campylobacter sp. RM16704	1	1	1	1	0	1	0	0	1	0	1	0	1	0	0	1	0	1	1	0	1	1	1	1	0	0	0	1	0	0	1	0	1
Campylobacter subantarcticus LMG 24374	1	1	1	1	0	1	0	1	1	0	1	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	1	0	0	1	0	1
Campylobacter volucris LMG 24379	1	1	1	1	0	1	0	0	1	0	1	0	1	0	0	1	0	1	1	0	1	1	1	1	0	0	0	1	0	0	1	0	1
Campylobacter lari NCTC 11845	1	1	1	1	0	1	0	0	1	0	1	0	1	0	0	1	0	1	1	0	1	1	1	1	0	0	0	1	0	0	1	0	1
Campylobacter peloridis LMG 23910	1	1	1	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	0	1
Rhizobium gallicum bv. gallicum R602	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	0	1	0	1	1	0	1	1	1
Geobacter pickeringii	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	0	1	1	0	0	0	1
Azotobacter chroococcum NCIMB 8003	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	0	0	1	1	1	1	1	0
Pseudomonas balearica DSM 6083	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	0	1
Neisseria elongata subsp. glycolytica ATCC 29315	1	1	1	1	0	1	0	1	1	0	1	0	0	0	1	1	0	1	1	0	1	0	1	1	0	1	0	0	1	0	0	0	0
Jeotgalibacillus malaysiensis	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	1	0
Corynebacterium humireducens NBRC 106098 = DSM 45392	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	1	0	0	1	1	0	1	0	0	0	0	1	0	0
Celeribacter indicus	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	1	1	0	0	1	1	1	1	0
Streptomyces albus	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0
Geoalkalibacter subterraneus	0	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	1	0	1	1	0	1	1	1	1	0	0	1	0	0	1	0	1
Methyloceanibacter caenitepidi	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	1	0	1
Candidatus Ishikawaella capsulata Mpkobe	0	0	0	1	1	0	0	1	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanothermobacter sp. CaT2	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0
Thiolapillus brandeum	1	1	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1	1	1	0	0	1	1	1	0	0	0	1	1	0	1	0	1
Sulfuritalea hydrogenivorans sk43H	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	1	0	1
Thermotoga caldifontis AZM44c09	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0
Thermotoga profunda AZM34c06	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0
Winogradskyella sp. PG-2	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	1	0	1
Candidatus Tachikawaea gelatinosa	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Thioploca ingrica	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	0	1	0	1
Mycoplasma canadense	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0
Comamonadaceae bacterium A1	1	1	1	1	0	1	1	1	1	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0
Comamonadaceae bacterium B1	1	1	1	1	0	1	1	1	1	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Burkholderiales bacterium GJ-E10	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1
Lactobacillus casei subsp. casei ATCC 393	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	0	1	0	1	0	1	1	0	0	1	0	0	0	1	0	0
Bacillus sp. OxB-1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0
cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0
Wolbachia endosymbiont of Cimex lectularius	1	1	1	1	1	1	0	1	0	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Chryseobacterium sp. StRB126	0	0	1	1	0	0	1	1	1	0	1	1	1	1	1	0	0	0	1	1	0	0	1	1	0	1	1	0	0	0	1	1	1
Lactobacillus hokkaidonensis JCM 18461	0	0	0	1	0	0	1	1	1	0	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0
Pseudomonas sp. StFLB209	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	0	1	1	0
Raoultella ornithinolytica	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0
Streptomyces vietnamensis	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0
Marinobacter similis	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	1	1	0
Marinobacter salarius	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0
Streptococcus iniae	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0
Lactobacillus heilongjiangensis	0	0	0	0	0	0	1	1	1	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0
Cupriavidus basilensis	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	1	0	0
Corynebacterium singulare	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0
Yersinia frederiksenii Y225	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	0	0	0	1	0	0	1	1	1
Yersinia ruckeri	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1
Yersinia aldovae 670-83	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	0	1	1	1	0	0	0	1	0	0	1	1	1
Yersinia rohdei	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	0	1	1	1	0	0	0	1	0	0	1	1	1
Yersinia intermedia	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	0	0	1	1	1	0	0	0	1	0	0	1	1	1
Corynebacterium marinum DSM 44953	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0
Burkholderia glumae PG1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	1	1	0	0	0	1	1	0	1	1	0
Rathayibacter toxicus	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Mycoplasma yeatsii GM274B	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Streptomyces cyaneogriseus subsp. noncyanogenus	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0
Pseudomonas sp. MRSN12121	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	1	1	0	0	1	0	1	1	0
Gynuella sunshinyii YC6258	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	1	1
Photobacterium gaetbulicola Gung47	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	1	1	1
Siansivirga zeaxanthinifaciens CC-SAMT-1	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	1	1	1
Mycoplasma dispar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Sphingobium sp. YBL2	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	1
Paenibacillus sp. IHBB 10380	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0
Arthrobacter sp. IHBB 11108	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Streptomyces lydicus A02	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0
Peptoniphilus sp. ING2-D1G	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0
Candidatus Methylopumilus turicensis	1	1	1	1	0	1	0	1	1	0	1	0	0	0	1	1	1	1	1	1	0	0	1	1	0	0	0	0	1	0	1	0	0
Legionella fallonii LLAP-10	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	1	1
Acholeplasma oculi	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0
[Clostridium] cellulosi	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	1	1	0	0	1	1	0	1	0	0	0	0	1	0	0
Xenorhabdus nematophila AN6/1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	1	1	0	1	1	0	0	0	1	1	0
Candidatus Evansia muelleri	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylacidiphilum fumariolicum SolV	0	0	1	1	1	1	0	0	1	1	1	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	1
Fermentimonas caenicola	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	0	1
Tatlockia micdadei	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	0	0	0	1	0	1	1	0
Legionella hackeliae	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	1	0	0	0	0	1	0	1	1	0
Aliivibrio wodanis	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	0	1	1	1
Defluviitoga tunisiensis	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	1	1	1	0	0	0	0	0	1	1	0
Moritella viscosa	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	0	1	1	1
Rhodococcus sp. B7740	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0
Ralstonia mannitolilytica	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	0	1	1	0	1	0	0	1	0	1	1	0
Elizabethkingia miricola	0	0	1	1	0	0	1	1	1	0	1	0	1	1	1	0	0	0	1	1	0	0	1	1	0	1	1	0	0	0	1	1	1
Candidatus Nitrosotenuis cloacae	1	1	0	1	1	1	1	1	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0
Candidatus Nitrosopumilus adriaticus	1	1	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0
Borrelia hermsii CC1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
Clavibacter michiganensis subsp. insidiosus	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Burkholderia ubonensis MSMB22	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	0	0	0	1	0	1	1	0	1	1	0
Burkholderia dolosa AU0158	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	0	0	0	1	0	1	1	0	1	1	0
Martelella endophytica	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	0	1	1	0	1	0	1	1	0	1	1	1
Paenibacillus beijingensis	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	1	0	0	0	0	1	1	0
Paraburkholderia fungorum	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	0	1	0	1	0	1	1	0	1	1	0
